level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01596	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01610	pckA	phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01222	E3.2.1.86A, celF	6-phospho-beta-glucosidase	3.2.1.86
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01223	E3.2.1.86B, bglA	6-phospho-beta-glucosidase	3.2.1.86
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K02777	crr	sugar PTS system EIIA component	2.7.1.-
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K02779	ptsG	glucose PTS system EIICB or EIICBA component	2.7.1.199
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K02791	malX	maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K20118	ptsG, glcA, glcB	glucose PTS system EIICBA or EIICB component	2.7.1.199
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K02753	ascF	beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component	2.7.1.-
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01647	CS, gltA	citrate synthase	2.3.3.1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01648	ACLY	ATP citrate (pro-S)-lyase	2.3.3.8
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K15230	aclA	ATP-citrate lyase alpha-subunit	2.3.3.8
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K15231	aclB	ATP-citrate lyase beta-subunit	2.3.3.8
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K05942	E2.3.3.3	citrate (Re)-synthase	2.3.3.3
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01659	prpC	2-methylcitrate synthase	2.3.3.5
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01681	ACO	aconitate hydratase	4.2.1.3
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K27802	acnA	aconitate hydratase A / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase	4.2.1.3 4.2.1.99
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00031	IDH1, IDH2, icd	isocitrate dehydrogenase	1.1.1.42
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00030	IDH3	isocitrate dehydrogenase (NAD+)	1.1.1.41
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K17753	HICDH	isocitrate--homoisocitrate dehydrogenase	1.1.1.286
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component	1.2.4.2
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	2.3.1.61
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K01616	kgd	multifunctional 2-oxoglutarate metabolism enzyme	2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	ko00020	K00382	DLD, lpd, pdhD	dihydrolipoyl dehydrogenase	1.8.1.4
